id,name,type,health,armor,lmb,rmb,f,q,e,talent1,talent2,talent3
1,Tyto the Swift,Assassin,1700,15,1,8,15,24,31,38,39,40
2,Aisling,Summoner/Utility,1500,25,41,49,56,63,70,77,78,79
3,Beckett,Shooter,1600,15,80,87,94,101,108,115,116,117
4,Charnok,Caster,2000,15,118,125,132,139,146,153,154,155
5,Griselma,Summoner,1550,15,156,164,171,178,185,193,194,195
6,HK-206,Shooter,2000,25,196,203,210,217,224,231,232,233
7,Imani,Shooter,1500,15,234,241,248,255,262,269,270,271
8,Lord Knossos,Bruiser,2500,15,272,279,286,293,300,307,308,309
9,The Margrave,Tank,2950,25,310,317,324,331,338,345,346,347
10,Pakko,Bruiser/Control,2450,15,348,355,362,369,376,383,384,385
11,Zandora,Tank/Utility,2250,25,386,393,400,407,414,421,422,423
12,Voden,Shooter/Utility,1600,15,424,431,438,445,452,459,460,461
13,Ramsay,Fighter,2100,15,462,469,476,483,490,497,498,499
14,Wu,Fighter,1700,15,500,507,514,521,528,535,536,537
15,Mozu,Caster,1500,15,538,545,552,559,566,573,574,575
16,Oru,Caster,2000,15,576,583,590,597,604,611,612,613
17,Tripp,Assassin,1500,15,614,621,628,635,642,649,650,651
18,Uncle Sven,Healer/Utility,2100,15,652,659,666,673,680,687,688,689
19,Vadasi,Healer,2050,15,690,697,704,711,718,725,726,727
20,Xenobia,Control,1700,15,728,735,742,749,756,763,764,765
21,Rutger,Tank/Control,1400,25,766,773,780,787,794,801,802,803
