id,parent_skill,name,description,left_or_right
1,,Talon,Melee attack combo.,none
2,1,Kith and Keen,"<li>Hits build crit chance and <img src=""/images/common/buff/focus.png""> <span class=""focus"">Focus</span> 2x faster.</li>",left
3,2,Talon and Fang,"<li><strong>[E],[LMB]:</strong> After hitting with <strong>[E] FANG</strong>, gain a higher crit chance <span class=""explain"">(+50%)</span> and crit bonus <span class=""explain"">(+10% damage)</span> for 5s.</li>",left
4,2,Synchronicity,"<li><strong>[E],[LMB]:</strong> Hitting an enemy that <strong>[E] FANG</strong> is attacking gives +15 <image src=""/images/common/buff/armor.png""> <span class=""armor"">armor</span> for 3s.</li>",right
5,1,Hidden Talon,"<li><strong>DODGE,[LMB]:</strong> Lunging attack moves farther, automatically crits, and inflicts <img src=""/images/common/debuff/bleed.png""> <span class=""bleed"">bleeding</span>. <span class=""explain"">(40 dmg/s, 5s, once every 8s)</span></li>",right
6,5,Encirclement Tactics,"<li><strong>DODGE,[LMB]:</strong> Hitting with Hidden Talon reduces cooldown for <strong>[Q] BLADE DANCE</strong> by 2s.</li>",right
7,5,Evade Defenses,"<li><strong>DODGE,[LMB]:</strong> Deals extra <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> if you hit a foe in the back or side. <span class=""explain"">(+70)</span></li>",left
8,,Swoop,Powerful leaping attack.,none
9,8,Cut Down,"<li>Inflicts +50% <img src=""/images/common/debuff/damage.png""> <span class=""damage"">damage</span> on targets below 50% health.</li>",left
10,9,Rake,"<li>Inflicts <img src=""/images/common/debuff/bleed.png""> <span class=""bleed"">powerful bleed</span> if you hit a bleeding foe. <span class=""explain"">(75 dmg/s, 3s)</span></li>",right
11,9,Predatory Instincts,"<li><img src=""/images/common/debuff/damage.png""> <span class=""damage"">Damage</span> increased to +100% on targets below 25% health.</li><li>Killing an enemy resets the cooldown.</li>",left
12,8,Swoop de Loop,"<li>Leaps farther and gives a <img src=""/images/common/buff/speed.png""> <span class=""speed"">speed boost</span>. <span class=""explain"">(+33% speed boost, 5s, -3s cooldown)</span></li><li>No longer attack on landing.</li>",right
13,12,Free as a Bird,"<li><img src=""/images/common/buff/cleanse.png""> <span class=""cleanse"">Cleanses debuffs</span> and can break free from disruption <span class=""explain"">(stun, launch, interrupt)</span> or being immobilized.</li>",left
14,12,Spin Cycle,"<li><strong>[RMB]:</strong> On use, resets cooldown for <strong>[Q] BLADE DANCE</strong>.</li>",right
15,,Blur,"Rush forward in a blur, bleeding all enemies you pass through.",none
16,15,Easy Strider,"<li>+10% <img src=""/images/common/buff/speed.png""> <span class=""speed"">move speed</span> and sprinting drains stamina 25% slower.</li>",left
17,16,Skirmishing,<li>Faster stamina regen while in combat.</li><li>Out of combat health regen starts 2s sooner.</li>,left
